brand,categories,content,discount,num_review,product,regular,star,title
Terumo,"Pharmacy,Medications,Insulin & Diabetes","A very good price. I will use first one today.
I order from Chewy for birds, cat, fish and dogs.",19.0,4,"Terumo 3cc Luerlock Syringes with 22 Gauge Needles, 1 inch, 100 count",19.0,4.0,Price is nice
Bravecto,"Dog,Flea & Tick,Spot Treatments",No problems in get the medication for my dog!! It’s always a pleasure to buy at Chewy!!!,49.0,6,"Bravecto Topical Solution for Dogs, 22-44 lbs, 1 treatment (Green Box)",49.0,4.2,Wonderful Product!
Terumo,"Pharmacy,Medications,Insulin & Diabetes",I like that these come individually wrapped. I will re-order them as needed.,19.0,4,"Terumo 3cc Luerlock Syringes with 22 Gauge Needles, 1 inch, 100 count",19.0,4.0,Very convenient
Bravecto,"Dog,Flea & Tick,Spot Treatments",I was so glad to learn Bravecto had a topical treatment. My beagle is so hard to give pills. The application was simple and she had no effects afterward.,49.0,6,"Bravecto Topical Solution for Dogs, 22-44 lbs, 1 treatment (Green Box)",49.0,4.2,Easy application
Endosorb,"Dog,Healthcare,Digestive & Urinary,Digestive Health","A lot of broken up tablets about 1/3 of container making it hard to place in pill pockets , You should make peanut butter coated tablets , easier to give to Dogs and eliminate the need of using pill pockets",68.99,2,"Endosorb Anti-Diarrheal Tablets for Dogs & Cats, 1.5-mg, 500 tablets",68.99,3.5,broken tablets
Terumo,"Pharmacy,Medications,Insulin & Diabetes",This item is exactly what I ordered and great price,19.0,4,"Terumo 3cc Luerlock Syringes with 22 Gauge Needles, 1 inch, 100 count",19.0,4.0,Exactly what I expected
Bravecto,"Dog,Flea & Tick,Spot Treatments","Our little friend was not unhappy with the treatment.
This was an improvement over prior experiences.",49.0,6,"Bravecto Topical Solution for Dogs, 22-44 lbs, 1 treatment (Green Box)",49.0,4.2,Bam Refused Tablet
Endosorb,"Dog,Healthcare,Digestive & Urinary,Digestive Health",I have multiple dogs and I was introduced to Endosorb by my vet when I was dealing with a Giardia outbreak in my dogs. This product is absolutely phenomenal and is my go-to product for loose stools and diarrhea. If it doesn't improve stool condition in 24 hours I know I've got a problem that requires a vet visit. I highly recommend this product.,68.99,2,"Endosorb Anti-Diarrheal Tablets for Dogs & Cats, 1.5-mg, 500 tablets",68.99,3.5,Fantastic Product
Terumo,"Pharmacy,Medications,Insulin & Diabetes",Terrible. Needles bend. Going to turn them.  Will never purchase that brand again,19.0,4,"Terumo 3cc Luerlock Syringes with 22 Gauge Needles, 1 inch, 100 count",19.0,4.0,Product I will never order again
Tri-Heart Plus,"Pharmacy,Heartworm",Glad you guys sells this product. When I purchase it at the Vet it's $36! Great savings buying at Chewy!!,19.99,103,"Tri-Heart Plus Chewable Tablets for Dogs, up to 25 lbs, 6 treatments (Blue Box)",19.99,4.8,Cheaper than at the Vet
Tri-Heart Plus,"Pharmacy,Heartworm","I have been giving Tri-Heart Plus to my dogs for a number of years- it is the same as things like HeartGard, but for a generic price.",19.99,103,"Tri-Heart Plus Chewable Tablets for Dogs, up to 25 lbs, 6 treatments (Blue Box)",19.99,4.8,"great product, great price"
Apoquel,"Pharmacy,Skin & Coat",Very  affective product. My dogs scratching went down by approximately 90%,2.29,1152,Apoquel Tablets for Dogs,2.29,4.8,Allergy treatment
Tri-Heart Plus,"Pharmacy,Heartworm",i never have time to run to the vet to pick up a refill. this saves me a trip,19.99,103,"Tri-Heart Plus Chewable Tablets for Dogs, up to 25 lbs, 6 treatments (Blue Box)",19.99,4.8,saves tme!
Apoquel,"Pharmacy,Skin & Coat","This medicine is great for my dogs allergies, she's a English bulldog and we couldn't live comfortably without it,  wish it didn't cost so much",2.29,1152,Apoquel Tablets for Dogs,2.29,4.8,Goodbye allergies
Vetoryl,"Pharmacy,Health Conditions,Thyroid & Hormone",They do the job but I have to shove them down her throat to get her to swallow them.,38.43,64,Vetoryl Capsules for Dogs,38.43,4.8,Dolly's pills
Vetoryl,"Pharmacy,Health Conditions,Thyroid & Hormone","First time ordered from chewy.com. I found it very fast, simple, and effective. My dog have Cushing's and relies on this medication twice daily. Auto shipping makes my life with keeping up with his daily medications.",38.43,64,Vetoryl Capsules for Dogs,38.43,4.8,Great product and services
Trifexis,"Dog,Flea & Tick,Oral Treatments",Great Product. Love that I dont have to do the topial as I have a Siberian Husky with massive amount of fur.  LOL.,113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Great Product
Vetoryl,"Pharmacy,Health Conditions,Thyroid & Hormone",This was the first time that I have had to order through Chewy.  Everything was really easy. Very nice people. The process was start to finish in 5 minutes.,38.43,64,Vetoryl Capsules for Dogs,38.43,4.8,Easy as it gets
Trifexis,"Dog,Flea & Tick,Oral Treatments","Chewy made the process very easy & my order was processed in a day.  I've used Trifexis for over a decade without issue.  In Florida, with the mosquito & flea population, it's a must!",113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Great product & price
Simparica,"Dog,Flea & Tick,Oral Treatments",This is the best flea control since sliced bread. It is in complete control for the full month with no break through. Good stuff,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Super control!
Vetoryl,"Pharmacy,Health Conditions,Thyroid & Hormone","was surprised to find out that my autoship order of pet medication  at petsmart was moved to chewy.  However, they transferred the prescription and everything was super smooth.  price was about the same and the delivery was extra quick. 

The Vetoryl has definitely given new life to my dog.  She is overall very happy and healthy.  much more energetic, has lost weight, and is no longer showing signs of cushings.  I don't like giving her medications, but in this case it's a life saver.  The only down side is the relatively high cost of the pills for an 80lb dog.",38.43,64,Vetoryl Capsules for Dogs,38.43,4.8,"quick delivery, great price"
Trifexis,"Dog,Flea & Tick,Oral Treatments",This is way cheaper than buying it at my vets office. And I love that they call your vet to make sure you  actually tested your dogs first! I have 4 dogs and I have always used this product. I will buy all of them this product from here from now on. And the customer service was amazing. They stayed in contact with me awaiting confirmation from my vet etc.,113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Great product
Simparica,"Dog,Flea & Tick,Oral Treatments",Great product at a great price.  Fast shipping.  I love chewy products and service.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Simparica and Interceptor plus
Trifexis,"Dog,Flea & Tick,Oral Treatments","Trifexis works great, filling my RX with Chewy was fast, easy, and a great experience.",113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,great service
Simparica,"Dog,Flea & Tick,Oral Treatments","No fleas, no ticks after using this product. Will continue to use.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Simparica Chewable Tablets ts for dogs
Simparica,"Dog,Flea & Tick,Oral Treatments","Being ""Florida Residents"" my two smaller pups are on this product all year. They chew it up like a treat on the first of every month!",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great product...good price
Trifexis,"Dog,Flea & Tick,Oral Treatments","I absolutely love Trifexis for my 3 dogs. They have never had any problems with fleas, ticks, or heartworms. Just have to make sure they eat plenty when they take it to prevent upset stomach.",113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Highly Recommend
Simparica,"Dog,Flea & Tick,Oral Treatments",Absolutely love it.  Both my fur babies love doing something to earn their treat. Love watching their faces light up when I pick up their treat bag.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,We love our treats
Simparica,"Dog,Flea & Tick,Oral Treatments",Works great. My dogs are pest free. And the price is great,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Good product
Simparica,"Dog,Flea & Tick,Oral Treatments",We live on a farm.  Simparica is reasonably priced and is very effective.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Good Bye Ticks & Fleas
Trifexis,"Dog,Flea & Tick,Oral Treatments",The only downside that I really see is some dogs don't like taking it.  My dog thinks its a treat though.,113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,"Great for preventing heartworm, fleas and ticks"
Simparica,"Dog,Flea & Tick,Oral Treatments",The topical solutions would burn my dog's skin. This is perfect and I hide it in peanut butter for them to take. It works!,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great or my furbabies!
Simparica,"Dog,Flea & Tick,Oral Treatments","My dogs are flea and tick free because of this product, they love it !!!",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Best flea and tick prevention!
Simparica,"Dog,Flea & Tick,Oral Treatments","We had a terrible issue this summer with fleas. My dog was constantly itching and scratching, she began pulling her hair out. Vet said to use this and all fleas/ticks would be dead within 2 hours of giving it to her. And they were. My dog eats them as if they were a treat. It doesn't get easier.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,No more fleas and ticks
Simparica,"Dog,Flea & Tick,Oral Treatments","I have been using Simparica for about a year now for all 3 dogs, and haven't had any issues with fleas or ticks! My dogs gobble the chewable right up, too!",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great flea/tick product
Simparica,"Dog,Flea & Tick,Oral Treatments",Have used for years and it does a great job and will to continue to use as it works great for my pet,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Good for pet
Simparica,"Dog,Flea & Tick,Oral Treatments","My vet stopped carrying Simparica, which is the only flea and tick medicine that doesn't upset my yorkie-poo's stomach.  Thank goodness Chewy now carries this and at a discounted rate.  Thanks Chewy for making life so much easier.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great Product and Great Service
Simparica,"Dog,Flea & Tick,Oral Treatments",This product is amazing. My dog is being treated with different  flea medications before that did not work. I was surprise Simparica cleared them all. 1 pill a month does the job. I am really happy with this product. I highly recommend it.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Oral tablet
Simparica,"Dog,Flea & Tick,Oral Treatments","I have been using Simparica for almost 2 years for my 6 year old shih tzu who needs this product for his skin condition. It was originally prescribed by an animal dermatologist. I could only get it from him, and only in three months supply. Through chewy I can get a 6 month supply for the same cost of their three month supply! Great service for this great product! You guys are doing things right!",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great product and service!
Simparica,"Dog,Flea & Tick,Oral Treatments",fast shipping at a great price!! I have seen many commercials on TV and decided to try.  I am so glad I did!,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,I will be back
Simparica,"Dog,Flea & Tick,Oral Treatments","This product was recommended by our Vet and Meeko has done Great on it.  No problems, no side effects, etc. AND, no fleas, ticks.....",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Simparica Chewable Tablets
Simparica,"Dog,Flea & Tick,Oral Treatments",Ordered my dog's meds from here.  They cost way less than what I was paying at vet.  They arrived in great condition and in a timely manner. I would highly recommend using them .,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,great service and prices
Simparica,"Dog,Flea & Tick,Oral Treatments",This is one of the few products my little Jack Russell can tolerate. Fast delivery.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great product
Simparica,"Dog,Flea & Tick,Oral Treatments",I ignored the warnings and you tube channel videos and our dog died!  Not using any pharma drugs going forward with our 3 other dogs.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Do not use!  Our dog died!
Simparica,"Dog,Flea & Tick,Oral Treatments",Product GREAT! Works like a charm on my dog! 13 lb yorkipoo.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Highly GREAT!
Simparica,"Dog,Flea & Tick,Oral Treatments","I thought my owners were gonna try to fake me out again by putting this med in some cheese or something, but it was just like a doggie treat! Gave it to me right out of the package and I goobled it right down. We're all good.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,I was Worried!
Simparica,"Dog,Flea & Tick,Oral Treatments",Have been giving this product to my dog for over a year now and it does it’s job as it should!,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great product
Simparica,"Dog,Flea & Tick,Oral Treatments",I was still dealing with fleas while using the same products that once worked. A friend told me about Simparica and it got rid of all fleas pronto.  Love it.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great new find
Simparica,"Dog,Flea & Tick,Oral Treatments","My vet recommended this exact brand because my poor dog has red mange      ( hereditary mange ) and we have a flea problem due to stray cats. This product helps to keep some skin problems from flaring up. The best part is this product doesn’t have the main side effect that nexguard has, which is itching. She itches now from mange so we don’t need any extra itchiness.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Vet recommenced
Simparica,"Dog,Flea & Tick,Oral Treatments","I first got these from my vet, they said use them once a month. But in my opinion, they stay effective for up to 2-3 months and keep my dog Herbie Flea free and that's I love this product. Thank you www.Chewy.com",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Herbie loves being Flea Free!
Simparica,"Dog,Flea & Tick,Oral Treatments","Have been using this product for years. Never had any problems, fleas or ticks. Never Any! Great buy.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Never Any!
Simparica,"Dog,Flea & Tick,Oral Treatments","Simparica is a wonderful product & Chewy has a GREAT PRICE!!!
Fur baby loves the chewable pills that smells good.  We also add them to a great smelling pill pocket as well.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great product & price.
Simparica,"Dog,Flea & Tick,Oral Treatments","I just say it's a treat before I give it to my dog (doxie mix) and he eats it right up. Works really well, I haven't seen any fleas on him. We also buy these for our pit and she hasn't had any flea issues either. We've been using these pills for about 2 years now.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Awesome flea meds
Simparica,"Dog,Flea & Tick,Oral Treatments",No hassle easy to order vet took time to approve the prescription once it was approve medicine came to my door a day earlier. Thanks Chew!,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great price
Simparica,"Dog,Flea & Tick,Oral Treatments",Wonderful service. Product works well for my Westie,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,I recommend this item
Simparica,"Dog,Flea & Tick,Oral Treatments",My vet recommend this product to me for my Chi Mix it works great,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great Product
Simparica,"Dog,Flea & Tick,Oral Treatments",Thank you Chewy.com for being there for me when I was out of town and discovered no Vet here carried the Simparica that my dog uses for flea and tick prevention. He’s used to this and I didn’t want to add to his and my stress by trying a substitute medication.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Simparica chewable tablets
Simparica,"Dog,Flea & Tick,Oral Treatments",I've used bravecto for many years and my dog won't eat it. I have to cut it up and put it in peanut butter. I tried Simparica and he thought it was a treat.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,He gobbled it up
Simparica,"Dog,Flea & Tick,Oral Treatments",This is a real easy and great working flea and tick medication,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great flea medication
Simparica,"Dog,Flea & Tick,Oral Treatments",Easy to chew and digest.  But most of all works for fleas and ticks.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,My Babies Love These!
Simparica,"Dog,Flea & Tick,Oral Treatments","I spent a lot of money on these pills, that was supposed to kill fleas in 24 hr. and last 30days. However, after a week and the use of a also expensive flea collar purchased at a veterinarian he is finally showing some improvement. I will continue to give him these pills ever month for next 5 treatments in hopes they will help to keep the fleas from returning.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Disappointed
Simparica,"Dog,Flea & Tick,Oral Treatments",product works well for my dog and vet recommended.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Simparica works well
Simparica,"Dog,Flea & Tick,Oral Treatments",We been using for a long time was recommended by our vets many years ago.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,We been using for long time
Simparica,"Dog,Flea & Tick,Oral Treatments","after years using advantage multi, it did not work anymore. I try revolution and did not work. Getting desperate because my dog had a lot of fleas. My vet told me about Simparica and YES it works. My dog and I are very happy. My dog likes it, eat it like a treat.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,works very good
Simparica,"Dog,Flea & Tick,Oral Treatments",I like this one because he  takes it just like a treat and you don’t have to force it on him or anything,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Eats it like a treat
Simparica,"Dog,Flea & Tick,Oral Treatments",This product allows my dogs to go for walks and to the dog park daily while staying flea free. They give it 2 paws up!,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Flea free!
Simparica,"Dog,Flea & Tick,Oral Treatments",My vet has had my pets on this product for some time.  Dogs readily eat it up and haven't found flea or tick to date.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,flea and ticks begone
Simparica,"Dog,Flea & Tick,Oral Treatments","Works well, and tolerated well. My dogs swallow it without complaint.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great price for a great product
Simparica,"Dog,Flea & Tick,Oral Treatments","This is the most affordable and effective flea and tick product I have found. We had been using bravecto but it was whole lot higher for us, almost double. Fast shipping and they contacted my vet to get the prescription.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great Product!
Simparica,"Dog,Flea & Tick,Oral Treatments",My dog is prescribed Simparica and you can not find a better price. Thanks Chewy. They kept me informed when contacted the vet.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,The best product
Simparica,"Dog,Flea & Tick,Oral Treatments",My dogs still had ticks after using this product. I'm hoping to get full refund and try another product.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,This product didn't work
Simparica,"Dog,Flea & Tick,Oral Treatments","Fleas are a year-round problem where I live. My dog was constantly using flea collars and OTC flea products, but he would still get the occasional flea. My dog has a flea allergy, so one flea bite turns into a huge problem. Since we have started using Simparica, I have not found any fleas on him and he does not scratch all the time. It is so much easier to just give him a pill monthly than do drops or replace collars. We will be using Simparica from now on.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,works great!
Simparica,"Dog,Flea & Tick,Oral Treatments",Really great customer service. My dog loves the taste. No need more pill pocket treats. He just takes it like a treat. I'm glad we switched to this med.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Satisfied pup and pup mom
Simparica,"Dog,Flea & Tick,Oral Treatments",They make it easy and it even costs a little less than the local vet.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Easy way to buy!
Trifexis,"Dog,Flea & Tick,Oral Treatments",Works great....................................................................,113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Good Product
Simparica,"Dog,Flea & Tick,Oral Treatments",These are just like the ones my vet sells for 25 dollars more. Using chewy RX only makes good sense.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Exactly what my vet sells
Simparica,"Dog,Flea & Tick,Oral Treatments",I’ve had my K-9 special service dog on Simparica from the very beginning. Never had a reason to give suspicion of throwing money away!,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Simparica prescription
Simparica,"Dog,Flea & Tick,Oral Treatments","Great product, great price and quick shipping!! Highly recommend!!",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great company
Simparica,"Dog,Flea & Tick,Oral Treatments",I think the headline says everything you need to know. Easy to give to the dog (I throw it into his food) and so far no fleas or ticks on him form our hikes .,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,IT WORKS! GREAT PRODUCT.
Simparica,"Dog,Flea & Tick,Oral Treatments",prevention is better than cure ! just love it. and not only me.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Prevention
Simparica,"Dog,Flea & Tick,Oral Treatments",Excellent my dog loves taking this medication put in a piece of cheese and done.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Dog Medication
Simparica,"Dog,Flea & Tick,Oral Treatments",Love this product. Works great and my dogs take it without a problem,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Good stuff
Trifexis,"Dog,Flea & Tick,Oral Treatments",The Trifexis arrived and we were able to continue with the treatments.,113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Great service
Trifexis,"Dog,Flea & Tick,Oral Treatments",Love this flea and worm medicine works like a charm and cheaper than PetMeds and other stores. Definitely recommend!,113.99,106,"Trifexis Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)",119.99,4.8,Great Product
Simparica,"Dog,Flea & Tick,Oral Treatments",It’s a great product & I save money ordering it from Chewy.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Bella Rose
Simparica,"Dog,Flea & Tick,Oral Treatments","I’m nervous about using these products with warnings about neurological side effects.  But, living with fleas is not an option for my dogs or my family",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Works great
Simparica,"Dog,Flea & Tick,Oral Treatments",I used to do Frontline and it’s a good product but not strong enough if your living in a place that is more wooded area. So I move to a more country backyard was already infested of fleas. I ran to my vet because both dogs had fleas. Thank god for Chewy and Simpirica I bought only 2 tablets in my vet and found it expensive with Cap Star .. I got to the Internet and purchase from chewy they were fast in getting my Veterinary information and amén I received a full box .This really works!!!! My babies are protected.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Great product
Simparica,"Dog,Flea & Tick,Oral Treatments","We have given our 16 months old shih-tzu since he was a baby, just to prevent any unexpected sickness. So far, he likes Simparica. We double checked with our vet, he recommend to keep continuing. Chewy.com delivers the medication fast, but I would recommend everyone that DO NOT order too many at once, watch the expiration date. So far we are happy about the product. No any negative reactions from it.",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,My little Shih-Tzu boy loves this brand!
Simparica,"Dog,Flea & Tick,Oral Treatments","Flea season has been brutal this year so I ordered Simparica for my doxie. The day it arrived, I gave him his first pill when I got home from work and by the next morning there were ZERO fleas! So glad my vet recommended this!",83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Works fast!!!
Simparica,"Dog,Flea & Tick,Oral Treatments",I received my Simparica just as promised.  I highly recommend this product.,83.79,85,"Simparica Chewable Tablets for Dogs, 11.1-22 lbs (Orange Box)",88.2,4.7,Chewy Is Awesome
